date,Humidity,Intraday_max,Intraday_mean,Intraday_min,Precipitation,Soil_max,Soil_mean,Soil_min
1967-04-21,55.25,,2.74,,0.0,,3.62,
1967-04-22,58.12,,6.24,,0.0,,4.75,
1967-04-23,59.88,,9.65,,0.0,,9.25,
1967-04-24,58.5,,14.7,,0.0,,11.75,
1967-04-25,75.62,,14.24,,0.3,,12.38,
1967-04-26,82.88,,12.6,,2.6,,14.75,
1967-04-27,86.25,,6.78,,1.2,,7.0,
1967-04-28,62.75,,7.02,,0.0,,8.25,
1967-04-29,62.0,,10.59,,0.0,,10.25,
1967-04-30,79.5,,9.35,,5.8,,8.88,
1967-05-01,80.25,,0.1,,3.3,,1.38,
1967-05-02,86.12,,1.05,,2.7,,1.25,
1967-05-03,79.5,,8.16,,0.0,,7.88,
1967-05-04,56.5,,17.34,,0.0,,15.75,
1967-05-05,79.12,,13.44,,0.0,,13.38,
1967-05-06,56.25,,15.59,,0.0,,16.38,
1967-05-07,51.5,,3.78,,0.0,,7.0,
1967-05-08,49.88,,6.26,,0.0,,10.62,
1967-05-09,65.62,,7.29,,2.4,,6.88,
1967-05-10,56.38,,6.64,,0.0,,10.25,
1967-05-11,85.75,,5.26,,6.1,,5.75,
1967-05-12,67.0,,2.33,,0.4,,4.12,
1967-05-13,63.0,,2.88,,0.0,,3.75,
1967-05-14,65.62,,5.89,,0.1,,7.38,
1967-05-15,81.12,,6.39,,8.8,,7.5,
1967-05-16,68.88,,6.32,,0.0,,9.12,
1967-05-17,66.75,,12.09,,0.0,,13.38,
1967-05-18,78.62,,10.86,,1.9,,10.88,
1967-05-19,64.12,,12.95,,0.0,,15.0,
1967-05-20,60.25,,17.99,,2.3,,17.75,
1967-05-21,53.5,,13.01,,0.0,,14.88,
1967-05-22,48.5,,15.54,,0.0,,17.12,
1967-05-23,64.88,,13.61,,3.4,,15.25,
1967-05-24,51.88,,9.81,,0.0,,13.75,
1967-05-25,52.38,,6.04,,0.0,,12.12,
1967-05-26,55.12,,5.71,,0.0,,11.12,
1967-05-27,47.38,,6.82,,0.0,,10.5,
1967-05-28,54.38,,5.75,,0.0,,10.25,
1967-05-29,50.38,,8.54,,0.0,,14.0,
1967-05-30,44.88,,11.12,,0.0,,14.12,
1967-05-31,47.62,,11.06,,0.0,,16.25,
1967-06-01,48.88,,8.98,,0.0,,12.88,
1967-06-02,54.75,,1.0,,0.0,,4.75,
1967-06-03,50.25,,5.34,,0.0,,11.75,
1967-06-04,52.0,,10.11,,0.0,,17.12,
1967-06-05,62.25,,14.44,,0.0,,18.38,
1967-06-06,50.88,,16.71,,0.0,,20.5,
1967-06-07,57.75,,14.42,,0.0,,18.75,
1967-06-08,75.88,,11.48,,0.2,,13.62,
1967-06-09,88.0,,12.89,,1.6,,12.88,
1967-06-10,56.75,,14.18,,0.7,,18.0,
1967-06-11,53.62,,11.82,,0.1,,14.25,
1967-06-12,56.12,,11.2,,0.0,,15.5,
1967-06-13,84.38,,10.85,,1.5,,12.88,
1967-06-14,61.12,,12.68,,0.0,,18.25,
1967-06-15,81.88,,14.1,,6.4,,14.5,
1967-06-16,83.62,,11.34,,1.4,,12.75,
1967-06-17,55.88,,10.49,,0.0,,17.0,
1967-06-18,50.75,,14.14,,0.0,,18.75,
1967-06-19,59.38,,12.39,,0.7,,16.12,
1967-06-20,51.0,,12.68,,0.0,,19.0,
1967-06-21,49.88,,15.49,,0.0,,20.5,
1967-06-22,47.0,,18.73,,0.0,,22.25,
1967-06-23,65.75,,20.39,,0.0,,21.88,
1967-06-24,64.88,,19.8,,0.0,,24.38,
1967-06-25,71.75,,14.18,,0.6,,17.5,
1967-06-26,56.38,,14.1,,0.0,,17.62,
1967-06-27,52.25,,17.04,,0.0,,22.0,
