;;
;;
;;
;;
;;
18,1;0;01.07.2018
;;
;;
;;
;;
;;
;;
;;
20,85;0;30.06.2018
;;
;;
;;
;;
;;
;;
;;
17,7625;0;29.06.2018
;;
;;
;;
;;
;;
;;
;;
20,0125;4;28.06.2018
;;
;;
;;
;;
;;
;;
;;
23,2375;0;27.06.2018
;;
;;
;;
;;
;;
;;
;;
25,825;0;26.06.2018
;;
;;
;;
;;
;;
;;
;;
25,05;0;25.06.2018
;;
;;
;;
;;
;;
;;
;;
23,2375;0;24.06.2018
;;
;;
;;
;;
;;
;;
;;
18,45;0;23.06.2018
;;
;;
;;
;;
;;
;;
;;
17,775;0;22.06.2018
;;
;;
;;
;;
;;
;;
;;
12,5375;5,4;21.06.2018
;;
;;
;;
;;
;;
;;
;;
16,9625;2;20.06.2018
;;
;;
;;
;;
;;
;;
;;
18,7625;0;19.06.2018
;;
;;
;;
;;
;;
;;
;;
18,2125;0;18.06.2018
;;
;;
;;
;;
;;
;;
;;
15,9375;0;17.06.2018
;;
;;
;;
;;
;;
;;
;;
12,9625;0;16.06.2018
;;
;;
;;
;;
;;
;;
;;
8,6875;0;15.06.2018
;;
;;
;;
;;
;;
;;
;;
7,925;0,6;14.06.2018
;;
;;
;;
;;
;;
;;
;;
12,2875;28;13.06.2018
;;
;;
;;
;;
;;
;;
;;
8,625;0,3;12.06.2018
;;
;;
;;
;;
;;
;;
;;
7,6;0;11.06.2018
;;
;;
;;
;;
;;
;;
;;
7,4125;0;10.06.2018
;;
;;
;;
;;
;;
;;
;;
7,85;18;09.06.2018
;;
;;
;;
;;
;;
;;
;;
6,6625;4;08.06.2018
;;
;;
;;
;;
;;
;;
;;
7,5;0,7;07.06.2018
;;
;;
;;
;;
;;
;;
;;
7,25;0;06.06.2018
;;
;;
;;
;;
;;
;;
;;
10,575;5;05.06.2018
;;
;;
;;
;;
;;
;;
;;
7,9875;7;04.06.2018
;;
;;
;;
;;
;;
;;
;;
6,45;0,5;03.06.2018
;;
;;
;;
;;
;;
;;
;;
4,975;0,4;02.06.2018
;;
;;
;;
;;
;;
;;
;;
4,0875;0;01.06.2018
